iter	Logloss
0	0.6612941664
1	0.6327369208
2	0.6055322255
3	0.579558646
4	0.5601189219
5	0.5401555574
6	0.5212345569
7	0.5060462613
8	0.4926794997
9	0.4776778919
10	0.4640724474
11	0.4520203101
12	0.4412755572
13	0.4319245933
14	0.4234625198
15	0.4143659524
16	0.4075940312
17	0.4020791919
18	0.396583269
19	0.3909398691
20	0.3851542618
21	0.3807794787
22	0.3768147023
23	0.3734008482
24	0.3698533371
25	0.3658993153
26	0.3625708393
27	0.3589049167
28	0.3568448699
29	0.3539458705
30	0.3509474458
31	0.3483665278
32	0.3464478872
33	0.3443656237
34	0.3424454511
35	0.3408446496
36	0.3391121311
37	0.3374778871
38	0.3359429744
39	0.3347841663
40	0.3331254628
41	0.3322139694
42	0.3310224151
43	0.3299123892
44	0.3287956076
45	0.3279311174
46	0.3268966077
47	0.3252427959
48	0.3243138579
49	0.3233799118
50	0.3226371744
51	0.3215020248
52	0.3207348401
53	0.3200367102
54	0.3191202737
55	0.317928349
56	0.3173333065
57	0.3163374388
58	0.3153746371
59	0.314704102
60	0.3142122469
61	0.3138608584
62	0.3133082716
63	0.3127422702
64	0.3119725461
65	0.3114979102
66	0.3110302131
67	0.3106811635
68	0.3102434318
69	0.3098581278
70	0.3093774561
71	0.3084523512
72	0.3080471981
73	0.3073654237
74	0.3069943271
75	0.3066524438
76	0.3062605564
77	0.3059824107
78	0.3055160181
79	0.3052285688
80	0.3049427533
81	0.3046205888
82	0.3041543099
83	0.3038482996
84	0.3034654358
85	0.3032466241
86	0.302764807
87	0.3018474364
88	0.3016197773
89	0.3013650247
90	0.3010470082
91	0.3007923738
92	0.3005254731
93	0.3003013349
94	0.3001073913
95	0.2998616609
96	0.299410906
97	0.2991564874
98	0.2988356898
99	0.2985247023
100	0.2983490983
101	0.2979993882
102	0.2977692761
103	0.297512898
104	0.2973444365
105	0.2970613196
106	0.2968074274
107	0.2966343285
108	0.2964627862
109	0.2963359959
110	0.2960417031
111	0.2958305508
112	0.2954953541
113	0.2951854544
114	0.2950052078
115	0.2948527756
116	0.2947375436
117	0.2944899778
118	0.2942938785
119	0.2941668773
120	0.2939480013
121	0.2937425355
122	0.2934779998
123	0.2933357011
124	0.2931364511
125	0.2929994157
126	0.2927351796
127	0.2924465372
128	0.2922315002
129	0.2921526248
130	0.2920801452
131	0.2919582798
132	0.2916188931
133	0.2915944925
134	0.2913938595
135	0.2912277077
136	0.2910576389
137	0.2909257806
138	0.2907739318
139	0.2905813289
140	0.2904949941
141	0.2901606299
142	0.2900124972
143	0.289868546
144	0.2897341431
145	0.289547646
146	0.2893764773
147	0.2892477436
148	0.2891715583
149	0.2890159741
150	0.2889991914
151	0.2888801713
152	0.2887495318
153	0.288627231
154	0.2883850314
155	0.2882624539
156	0.2881547026
157	0.2879003934
158	0.2877181846
159	0.2873327057
160	0.2872781647
161	0.2869029796
162	0.286805235
163	0.2865913508
164	0.2864590017
165	0.2862803368
166	0.2857110428
167	0.2856201358
168	0.2853435681
169	0.2852904847
170	0.2851719726
171	0.2849550084
172	0.2844566638
173	0.284338708
174	0.2842085895
175	0.2840426002
176	0.2838653276
177	0.2836936382
178	0.2835882502
179	0.2834427933
180	0.2833464429
181	0.2832074755
182	0.2830791846
183	0.2829864454
184	0.2828871417
185	0.2828143111
186	0.2826122226
187	0.2825039969
188	0.2823165855
189	0.2821647412
190	0.2820902618
191	0.2819745393
192	0.2818553626
193	0.2817747535
194	0.2816324343
195	0.2815210978
196	0.2814706583
197	0.2812835336
198	0.2811661651
199	0.2810399938
