iter	AUC	Logloss
0	0.7946583033	0.638250707
1	0.8050072789	0.5947641404
2	0.8126043677	0.5622954248
3	0.8173063695	0.5351364673
4	0.8200927079	0.5172335456
5	0.8235211074	0.4991287757
6	0.8261506557	0.4867510494
7	0.8261277676	0.4784086228
8	0.8269820213	0.4711284067
9	0.8281293213	0.4654260915
10	0.8335005641	0.4575588655
11	0.834900856	0.4521423363
12	0.8380768001	0.44597351
13	0.8391612768	0.4406560792
14	0.8407905102	0.4364945954
15	0.8433692753	0.432312913
16	0.8444005251	0.4302017114
17	0.8451254666	0.4277567923
18	0.8454355001	0.4256897319
19	0.8459874988	0.423378346
20	0.8465226591	0.4215359672
21	0.8479709923	0.4193555261
22	0.8487784266	0.4171501255
23	0.8494858444	0.4156216351
24	0.8502507508	0.414518981
25	0.8508039713	0.4132421191
26	0.8514710963	0.4123342876
27	0.8522507548	0.4109041098
28	0.8526628911	0.4101060537
29	0.853900075	0.4084393618
30	0.8540066481	0.4079307894
31	0.8545143604	0.4069364317
32	0.8549201488	0.4062555928
33	0.8549691439	0.4058204197
34	0.8553245068	0.40519708
35	0.8559547365	0.4043947254
36	0.8562238812	0.404080652
37	0.8565490842	0.4036357725
38	0.8569568992	0.4030043441
39	0.8575645089	0.4021038155
40	0.8578377366	0.4017034933
41	0.8583818674	0.4009008613
42	0.8586232066	0.4004899545
43	0.8592140377	0.3997547593
44	0.859605819	0.3992873701
45	0.8598082364	0.3991244864
46	0.8599075079	0.3989074314
47	0.8601387441	0.3985145046
48	0.860539794	0.3979981208
49	0.8609331846	0.3974723541
50	0.8612460196	0.3970102341
51	0.8615120053	0.396676147
52	0.8617273867	0.3964920939
53	0.8619147837	0.39616286
54	0.8622209132	0.3956725912
55	0.8623881042	0.3955183509
56	0.8630000055	0.3948986165
57	0.86333552	0.3944022927
58	0.8635013998	0.3942481911
59	0.8636481166	0.3939568586
60	0.8638274372	0.3936859558
61	0.864071846	0.3934473155
62	0.8649000823	0.3925063896
63	0.86526829	0.3919816398
64	0.8654251099	0.3915817798
65	0.8655351996	0.3914093283
66	0.8657715321	0.3911913952
67	0.8661813736	0.3906637334
68	0.8664380014	0.3902159882
69	0.8665584028	0.3900602226
70	0.8668532372	0.3897226688
71	0.8669668436	0.389623894
72	0.8671756685	0.3893510962
73	0.8674072623	0.3891090818
74	0.8675146103	0.3890113238
75	0.8676222861	0.3888965103
76	0.8676302433	0.3887905712
77	0.8677886426	0.3885141681
78	0.8678168356	0.3884906415
79	0.868060559	0.3882330967
80	0.8682128489	0.3880227438
81	0.8686680198	0.3875427824
82	0.8688112795	0.3873678119
83	0.8689911962	0.3871852842
84	0.869006753	0.3870913626
85	0.8693163991	0.3866661733
86	0.8693312407	0.3866569753
87	0.8695534766	0.3863513142
88	0.8696904778	0.3861504829
89	0.8698609173	0.385951824
90	0.8698944747	0.3858982073
91	0.8699213564	0.3858637725
92	0.8700094819	0.3857229826
93	0.8702071905	0.3854942798
94	0.8702681661	0.3854393459
95	0.8704714179	0.3852476433
96	0.8705708683	0.3851360883
97	0.8707477748	0.3848442242
98	0.8708814383	0.384741174
99	0.8709158301	0.3846072941
100	0.8710947037	0.3843605882
101	0.8714464009	0.3840154311
102	0.8718920052	0.3834974758
103	0.8719457686	0.3834280746
104	0.8720699847	0.3832745507
105	0.8724145591	0.3828980324
106	0.8725547791	0.3826726576
107	0.8727506995	0.3823621895
108	0.8729205132	0.382174901
109	0.873108834	0.3819604575
110	0.8732543588	0.3817587711
111	0.8733437061	0.3816333267
112	0.8735590875	0.3814193223
113	0.8736439943	0.3813708131
114	0.8737381399	0.3812788328
115	0.8738990426	0.3811264876
116	0.8739550114	0.3810047408
117	0.8742312193	0.3805954055
118	0.8743105531	0.3804826025
119	0.8748491108	0.3798223089
120	0.8752148449	0.379310293
121	0.8752270639	0.3792470624
122	0.8752543032	0.3791675849
123	0.8755064011	0.3787625481
124	0.8757581413	0.3785274438
125	0.8757800162	0.3784634273
126	0.8757916987	0.3784415878
127	0.8757968843	0.3784363648
128	0.8760057688	0.3781783116
129	0.8762069046	0.3780001749
130	0.8764880896	0.3776695774
131	0.8764899373	0.3776669428
132	0.8766727149	0.3773415452
133	0.876780659	0.3771704111
134	0.8768012822	0.3771262005
135	0.8768233359	0.3770961798
136	0.876824826	0.377095394
137	0.876830548	0.3770852253
138	0.8768335283	0.3770829374
139	0.8768639266	0.3770188054
140	0.8770728409	0.3768242602
141	0.8771603107	0.3766769993
142	0.8771649301	0.3766686101
143	0.8773234189	0.3764510236
144	0.8773269355	0.3764492672
145	0.8773275316	0.3764441366
146	0.8773314059	0.3764360017
147	0.8773310483	0.3764357244
148	0.8773389757	0.3764236144
149	0.8773474991	0.3764005731
150	0.8773571551	0.3763819459
151	0.8775929511	0.3761175373
152	0.877717346	0.3758716865
153	0.8778256774	0.3757128934
154	0.8778397441	0.375685854
155	0.8779599369	0.3755187411
156	0.8780649006	0.3752253748
157	0.878154248	0.3751212152
158	0.8783125877	0.3749754334
159	0.8783628345	0.3749348974
160	0.8785273731	0.3746806112
161	0.8786083758	0.3745674847
162	0.879008919	0.3740769155
163	0.8790606558	0.3740130608
164	0.8791457117	0.3739229756
165	0.879152745	0.3739089475
166	0.8792953193	0.3737426434
167	0.8794209659	0.373595683
168	0.8794220984	0.3735937648
169	0.8795151412	0.3734210822
170	0.8797581494	0.3731280395
171	0.8799242675	0.3729990129
172	0.8800697625	0.3727771971
173	0.8800906837	0.3727505737
174	0.8801807165	0.372659333
175	0.8801903427	0.3726391805
176	0.8801914454	0.3726347433
177	0.8801942468	0.3726310918
178	0.8801959157	0.3726289194
179	0.8801960945	0.3726250368
180	0.8803424239	0.3724678152
181	0.8803717196	0.3724256846
182	0.8805363178	0.3722447746
183	0.8807298243	0.3720654593
184	0.8807595074	0.3720539733
185	0.8807609677	0.372046185
186	0.8807609677	0.3720461619
187	0.8809975088	0.3717726708
188	0.8810671866	0.3717140854
189	0.8812141716	0.3716039863
190	0.8812738657	0.3715243009
191	0.8813174367	0.3713633354
192	0.881410867	0.3711987416
193	0.8814783394	0.3711619263
194	0.8816193938	0.3710195649
195	0.8816360831	0.3709849683
196	0.881775111	0.3707660645
197	0.8820469379	0.3704752404
198	0.8821322024	0.3703677067
199	0.8823384047	0.3701003861
200	0.8823828697	0.3699887618
201	0.882794112	0.3695370646
202	0.8828350902	0.3695038316
203	0.8832263947	0.3690095184
204	0.8833294511	0.3688008757
205	0.8834050894	0.3687011765
206	0.8834660649	0.3685348956
207	0.8834706843	0.368449756
208	0.8836188018	0.368247515
209	0.883631587	0.368214305
210	0.8837771118	0.3680711347
211	0.8838970363	0.367799192
212	0.8841426373	0.3675401912
213	0.8842232525	0.3674222115
214	0.8843897283	0.3672394989
215	0.8844181001	0.3672201784
216	0.8845307827	0.3670453466
217	0.8845978081	0.3669944107
218	0.8846139312	0.3669746743
219	0.8847968876	0.3666726415
220	0.8849123716	0.3664603473
221	0.8850406408	0.3662873181
222	0.8852154315	0.366092588
223	0.8855650127	0.3657211309
224	0.8855948746	0.3656733151
225	0.8855941296	0.3656633775
226	0.8856803179	0.3655540643
227	0.8859294355	0.3652125817
228	0.8859464824	0.3651928221
229	0.8859583735	0.3651726003
230	0.8860050738	0.3650689954
231	0.8861071169	0.3649423261
232	0.8861254454	0.364925386
233	0.8864676356	0.3646338917
234	0.8866072297	0.3644227992
235	0.8866291046	0.3643902595
236	0.8866409659	0.3643747523
237	0.8868168592	0.3642049816
238	0.8868178129	0.3642035025
239	0.8869805336	0.3639539309
240	0.8871911168	0.3637005923
241	0.8872085214	0.3636824504
242	0.8872191012	0.3636578607
243	0.8873547912	0.3634727677
244	0.8874912262	0.3633436487
245	0.8875575662	0.3632332492
246	0.8877401352	0.3630078051
247	0.8878687918	0.3628421482
248	0.8879288435	0.3627816677
249	0.8880621195	0.362613561
250	0.8880773187	0.3625899881
251	0.8881677985	0.3624716386
252	0.8883781731	0.3622436292
253	0.8885121942	0.3620583514
254	0.8886734545	0.3618408573
255	0.888774097	0.3617451562
256	0.8888204694	0.3616996745
257	0.8890300989	0.3613949609
258	0.8891264796	0.3612631841
259	0.889133513	0.3612477231
260	0.8891385198	0.3612437712
261	0.8891479969	0.3612308524
262	0.8891516924	0.3612256525
263	0.8891603947	0.3612128492
264	0.8891644776	0.3612046681
265	0.8891711533	0.3611961171
266	0.8891954422	0.361143864
267	0.8891959786	0.361142824
268	0.889198035	0.3611336029
269	0.8892721832	0.361043587
270	0.889272362	0.3610374858
271	0.8894132376	0.3608774216
272	0.8895847201	0.3606804267
273	0.8895899057	0.3606751806
274	0.8897148371	0.3605015967
275	0.8897148371	0.3604985923
276	0.8898957372	0.3602779552
277	0.890004158	0.3601476806
278	0.8902933598	0.359843591
279	0.890327096	0.3597846589
280	0.890335232	0.3597748369
281	0.8903409839	0.3597660086
282	0.8905697167	0.3595170379
283	0.8906010389	0.3594516348
284	0.8907002211	0.359336567
285	0.8907979131	0.3591799463
286	0.8910873234	0.3588859792
287	0.8911010623	0.3588550572
288	0.891148895	0.3587770126
289	0.8913695812	0.3585040068
290	0.8914088607	0.358386004
291	0.89154917	0.3582124663
292	0.8916383386	0.3580811749
293	0.8917725086	0.3579514318
294	0.8919293284	0.3577395767
295	0.8920761347	0.357564144
296	0.8921086192	0.3574693211
297	0.8921096921	0.3574645603
298	0.8922088742	0.3573522427
299	0.8924039006	0.3570886891
300	0.8924394846	0.3570158907
301	0.8924446702	0.3570093273
302	0.8924459815	0.356997564
303	0.8924950957	0.3569281396
304	0.8926220536	0.3567668737
305	0.8927169442	0.3566584618
306	0.8929362297	0.3563549731
307	0.8930168748	0.3562077122
308	0.8932289481	0.3560341283
309	0.8933525681	0.3558570778
310	0.8935186267	0.3556392602
311	0.8936031461	0.3555304554
312	0.8936120868	0.3555144628
313	0.8936187625	0.3555082692
314	0.8937266469	0.3553565017
315	0.8937551975	0.3553019375
316	0.893774271	0.3552935946
317	0.8937859535	0.3552738119
318	0.8937878013	0.3552637357
319	0.8938213587	0.3552313115
320	0.8938211799	0.3552294626
321	0.8938187361	0.3552256725
322	0.8938886523	0.3551232231
323	0.893892169	0.3551147877
324	0.8940287828	0.3549564337
325	0.8940306306	0.35495128
326	0.8940319419	0.3549461957
327	0.894220233	0.3546950757
328	0.8942923546	0.3546148356
329	0.8943551779	0.3544929733
330	0.8944771886	0.3543545637
331	0.8944678903	0.3543177716
332	0.8944693804	0.3543063319
333	0.8945952058	0.3541705338
334	0.8945968747	0.3541680379
335	0.8945993185	0.354162838
336	0.8946532607	0.3541141208
337	0.8947008848	0.3540468689
338	0.894791007	0.3539655195
339	0.8947932124	0.3539602272
340	0.8948013783	0.3539513989
341	0.8949177861	0.3538188826
342	0.8950061798	0.3536927217
343	0.895162046	0.3534952645
344	0.8952627182	0.3533749506
345	0.8953513503	0.3532264187
346	0.8953530192	0.3532226978
347	0.8953880072	0.3531439831
348	0.8956167698	0.3528868774
349	0.8956386447	0.3528478666
350	0.895621419	0.3528262813
351	0.8956276774	0.3528178459
352	0.8956853747	0.3527385765
353	0.8957111239	0.3526973472
354	0.8957118392	0.352696261
355	0.8957090974	0.35266661
356	0.8957647085	0.3525866473
357	0.8957493305	0.3525177776
358	0.8958095312	0.3524176855
359	0.8958106637	0.35241653
360	0.8959517479	0.3522440323
361	0.8961316943	0.3519438022
362	0.8961398602	0.3519276247
363	0.8962734938	0.3517853789
364	0.8962963223	0.3517606967
365	0.8964864612	0.3515766899
366	0.8965233564	0.3515305842
367	0.8966694474	0.3513863508
368	0.8966707587	0.3513850104
369	0.8968961239	0.351121272
370	0.8968965411	0.3511200933
371	0.8969231844	0.3510973987
372	0.8969326615	0.3510795111
373	0.8969339728	0.3510777316
374	0.8969944119	0.350914663
375	0.8970794678	0.3507883634
376	0.8971934915	0.3506420039
377	0.8973280191	0.3505295014
378	0.8974494338	0.350368143
379	0.8974889517	0.3503298256
380	0.8974909782	0.3503254346
381	0.8974909782	0.350324695
382	0.8974907994	0.3503246257
383	0.8974907994	0.3503222453
384	0.8975270987	0.350272465
385	0.8975300789	0.3502682358
386	0.8976047635	0.3502011456
387	0.8976249695	0.3501753773
388	0.8976257443	0.3501741062
389	0.897934556	0.3497509969
390	0.8979369402	0.3497453579
391	0.8979975581	0.349622964
392	0.8980737329	0.3495583005
393	0.8981228471	0.3493628771
394	0.8981814384	0.349258186
395	0.8983362317	0.3490364395
396	0.8984663486	0.3488708288
397	0.8986255527	0.3486961818
398	0.8986535668	0.3486466095
399	0.8987262249	0.3485371345
400	0.898735702	0.3484541443
401	0.898882091	0.3482535903
402	0.8989644051	0.3481192944
403	0.8989672065	0.3481171221
404	0.8989670277	0.3481158972
405	0.8991310596	0.3478843519
406	0.8993416429	0.3476410432
407	0.8994044662	0.347566627
408	0.8995063901	0.3474462438
409	0.8995651603	0.3473310142
410	0.8996449113	0.3472179108
411	0.8997273445	0.3471326326
412	0.8998320699	0.3470491108
413	0.8998938203	0.3470172644
414	0.8999579549	0.3468647112
415	0.9000354409	0.3467298144
416	0.9000704885	0.3466866438
417	0.9003614783	0.3463576179
418	0.9006215334	0.3460663547
419	0.9007572532	0.3459134317
420	0.900765419	0.3458648069
421	0.9009045959	0.345614542
422	0.9012006521	0.3452901844
423	0.9012843966	0.3450404741
424	0.9013481736	0.3449529079
425	0.9013506174	0.3449496956
426	0.9013511539	0.3449473845
427	0.9013513327	0.3449467836
428	0.9014740586	0.3448793699
429	0.9014736414	0.3448677684
430	0.9015684128	0.3447650417
431	0.9015744925	0.3447543877
432	0.901640892	0.344671305
433	0.9016438127	0.3446699646
434	0.9016432762	0.3446689708
435	0.9016445875	0.344666706
436	0.9018577337	0.3444649271
437	0.9018586874	0.3444636792
438	0.9019780159	0.344260791
439	0.9019547105	0.3442538347
440	0.901956737	0.344248681
441	0.9019576311	0.3442472251
442	0.9019589424	0.3442426029
443	0.9021229744	0.3440142238
444	0.9022421837	0.3438734338
445	0.9022704661	0.3437716547
446	0.9023463726	0.3436312345
447	0.9025142789	0.3434681428
448	0.9025141001	0.3434668949
449	0.9025515318	0.3434519885
450	0.902626276	0.3433901676
451	0.9026637077	0.3433349563
452	0.9026700258	0.3433252036
453	0.9026839137	0.3433008219
454	0.9027091265	0.3432473439
455	0.9027834535	0.3431863319
456	0.9027832747	0.3431816173
457	0.902813673	0.3431549477
458	0.9028266072	0.3431292487
459	0.9030583501	0.3428342416
460	0.9031721354	0.3427536317
461	0.9032233357	0.3427170476
462	0.9033421278	0.3424778295
463	0.9035332203	0.3422412692
464	0.9035158157	0.342228905
465	0.9035159945	0.3422280268
466	0.9035161734	0.3422202154
467	0.9036533237	0.3420813668
468	0.9037128687	0.3420107176
469	0.9037193656	0.3419965739
470	0.9037259817	0.3419869137
471	0.9037851691	0.3418520169
472	0.9038671553	0.3416874
473	0.9038732946	0.3415986552
474	0.9040424228	0.341460107
475	0.9040450454	0.3414569177
476	0.9041329026	0.3413379905
477	0.9041329026	0.3413374358
478	0.9041343927	0.3413345008
479	0.9042485356	0.3412807223
480	0.9042596817	0.3412781108
481	0.9044303894	0.3410554631
482	0.9044507742	0.3410221145
483	0.9046700597	0.3407690069
484	0.9046700597	0.3407682443
485	0.9047507048	0.3406739529
486	0.9048845172	0.3405387789
487	0.9049150944	0.3404236649
488	0.9049150944	0.3404233875
489	0.904943645	0.3403999996
490	0.9051380754	0.3401527621
491	0.9052013159	0.3400725221
492	0.9053189456	0.3398727769
493	0.9053409994	0.3398479099
494	0.905377388	0.339791312
495	0.905420959	0.3397422481
496	0.9053965211	0.3397252156
497	0.9054111242	0.3396827614
498	0.9058187604	0.3391413026
499	0.9059153199	0.339039223
