iter	AUC	Logloss
0	0.7946583033	0.6753111337
1	0.8050052524	0.6583239936
2	0.8130515516	0.6420340085
3	0.8171992898	0.6255605713
4	0.8198278546	0.6102017594
5	0.8192034662	0.597425606
6	0.8189756274	0.5863301033
7	0.8222785294	0.575319093
8	0.8238326013	0.564175474
9	0.8243894279	0.5545938558
10	0.8244928718	0.5459034294
11	0.8239800632	0.5381494455
12	0.8249084651	0.5315746118
13	0.8248413503	0.5257976493
14	0.8259621561	0.5202973672
15	0.8261021972	0.5159391658
16	0.8264917135	0.5107940477
17	0.8261824548	0.5061918444
18	0.8268663585	0.5013114354
19	0.826705724	0.4973407992
20	0.826515168	0.4937989113
21	0.8262954056	0.4907168324
22	0.8268613517	0.4876038776
23	0.8271410465	0.4842753008
24	0.8275010288	0.4816387022
25	0.8278753757	0.4790254916
26	0.827904284	0.4763355999
27	0.8281545043	0.4729188329
28	0.8282696307	0.4707586829
29	0.8284629583	0.4689635422
30	0.8291356564	0.4669740873
31	0.8291869164	0.464835384
32	0.8292868137	0.4632808248
33	0.8315609097	0.4609122632
34	0.8316033483	0.4596580497
35	0.8332609832	0.457286114
36	0.8344216347	0.4549319734
37	0.8353639245	0.4525655843
38	0.8353836536	0.4515739074
39	0.8361436427	0.4494861399
40	0.8367055655	0.4481056499
41	0.8375792801	0.4463151775
42	0.8380182981	0.4444887449
43	0.8386638463	0.4429687592
44	0.8393196464	0.4414814982
45	0.8399865031	0.4401280939
46	0.8400346935	0.4390869603
47	0.8407332301	0.4377550026
48	0.8412996829	0.4366950108
49	0.8421780169	0.4354699166
50	0.8428928554	0.4342258718
51	0.8434224725	0.4329032046
52	0.8438138664	0.4318274975
53	0.8443484604	0.4309601096
54	0.8447686732	0.4299339517
55	0.8452086151	0.4289228157
56	0.8453999162	0.4281192131
57	0.8458013237	0.4273683952
58	0.8460991979	0.4268011218
59	0.8462939262	0.4258663895
60	0.8465559185	0.4253928991
61	0.8468280435	0.4247597142
62	0.8469682634	0.4239886052
63	0.8471021056	0.4234816968
64	0.8473439813	0.422853134
65	0.84766078	0.4222345089
66	0.8477998972	0.4217041201
67	0.8480329812	0.4212383023
68	0.8483373523	0.4206933538
69	0.848467201	0.4201244165
70	0.8485202193	0.4198949742
71	0.8487122357	0.4194252739
72	0.8488196731	0.4190753329
73	0.8491953015	0.4184354921
74	0.8492857516	0.4180204716
75	0.8493383229	0.4177188317
76	0.8495362103	0.4173139336
77	0.8497256339	0.4167336258
78	0.8498387039	0.4163130587
79	0.8500936627	0.4158287063
80	0.8503391743	0.4153238778
81	0.8505773544	0.4148053679
82	0.8507561386	0.4144887061
83	0.8508932292	0.4142284805
84	0.8509347439	0.4139615066
85	0.8510296643	0.4137316483
86	0.8510201871	0.4135228669
87	0.851264149	0.4131758378
88	0.8512949049	0.4129795362
89	0.8516295552	0.4125180633
90	0.8520145714	0.411892736
91	0.8521205783	0.4116376872
92	0.8523413539	0.4113128905
93	0.8524748385	0.4109675715
94	0.8525240421	0.4108677337
95	0.8526713848	0.4106415269
96	0.8528430462	0.4103979871
97	0.8528743982	0.4102800767
98	0.8529679775	0.410068291
99	0.8531453609	0.4097961403
100	0.8532440066	0.4095564369
101	0.8534030318	0.409268155
102	0.8536459804	0.4089171046
103	0.8538346291	0.4086486054
104	0.8538759947	0.4085321741
105	0.8540183306	0.4083098036
106	0.8540070653	0.4082279458
107	0.8540366888	0.4081973473
108	0.8541811109	0.407931529
109	0.8543127179	0.4077456733
110	0.8546482921	0.407296033
111	0.8547819257	0.4071269557
112	0.8549743295	0.4068020666
113	0.8551350832	0.4065407316
114	0.8551834226	0.4064379356
115	0.855288744	0.4062186158
116	0.8552964926	0.4061174837
117	0.8553893864	0.4058546235
118	0.8554685414	0.4056686754
119	0.8556138575	0.4054339177
120	0.8558407426	0.405105793
121	0.8559506536	0.404954326
122	0.856030345	0.4048027665
123	0.856333524	0.4044261558
124	0.856464386	0.4042209335
125	0.8565657735	0.4040234301
126	0.8568133414	0.4037548384
127	0.8568129539	0.4037094954
128	0.8569443822	0.403525997
129	0.857013613	0.4034204277
130	0.8570138216	0.4034201966
131	0.8570612669	0.403296601
132	0.8571604192	0.4031412514
133	0.8571620882	0.4031398185
134	0.8571639657	0.4031343644
135	0.857385993	0.4028373467
136	0.8574563563	0.4027063557
137	0.8575358689	0.4025222565
138	0.8576295078	0.4023699112
139	0.8577792645	0.4020935544
140	0.8578851819	0.4019545671
141	0.8579171896	0.4018920298
142	0.8579856753	0.401798478
143	0.8580785394	0.4016398929
144	0.8581779003	0.4014963759
145	0.8582677841	0.4013291474
146	0.8582664728	0.4012814471
147	0.8583725095	0.4011520738
148	0.8586551845	0.4007836443
149	0.8587008715	0.4006927733
150	0.8588385284	0.4005143131
151	0.859035641	0.4002594491
152	0.8592109978	0.4000057869
153	0.8593270481	0.3998755816
154	0.8593329787	0.399835554
155	0.8594015539	0.3997006805
156	0.8595021963	0.3995419105
157	0.8595590889	0.3994374042
158	0.8595958054	0.3993311878
159	0.8597251177	0.3991525889
160	0.8598967493	0.3989441773
161	0.8600955606	0.3987112222
162	0.860152185	0.3985928496
163	0.8601857126	0.3985421449
164	0.8602754474	0.3984250665
165	0.860476464	0.3981908634
166	0.8605302274	0.398073369
167	0.8605795205	0.3979602194
168	0.860602349	0.3978969887
