iter	Passed	Remaining
0	66	32945
1	120	30021
2	175	29126
3	230	28542
4	286	28342
5	339	27930
6	396	27952
7	448	27612
8	505	27551
9	559	27418
10	615	27364
11	675	27466
12	731	27414
13	787	27325
14	844	27319
15	897	27159
16	956	27184
17	1012	27107
18	1072	27148
19	1126	27046
20	1185	27031
21	1244	27045
22	1300	26961
23	1360	26977
24	1419	26969
25	1481	27017
26	1546	27086
27	1609	27133
28	1669	27120
29	1728	27085
30	1800	27240
31	1869	27341
32	1934	27378
33	2003	27458
34	2069	27494
35	2135	27520
36	2203	27569
37	2259	27467
38	2333	27578
39	2403	27636
40	2474	27698
41	2539	27696
42	2604	27680
43	2669	27667
44	2737	27683
45	2810	27735
46	2871	27674
47	2944	27731
48	3016	27759
49	3077	27699
50	3135	27604
51	3194	27523
52	3251	27424
53	3307	27316
54	3364	27219
55	3422	27132
56	3479	27045
57	3539	26971
58	3595	26877
59	3647	26747
60	3696	26603
61	3753	26517
62	3812	26445
63	3871	26373
64	3929	26296
65	3987	26221
66	4041	26117
67	4099	26044
68	4158	25973
69	4208	25853
70	4265	25771
71	4323	25700
72	4387	25665
73	4448	25607
74	4506	25537
75	4563	25461
76	4621	25387
77	4677	25306
78	4726	25186
79	4784	25116
80	4840	25038
81	4896	24959
82	4957	24908
83	5014	24833
84	5071	24763
85	5128	24686
86	5182	24603
87	5241	24537
88	5295	24452
89	5354	24393
90	5412	24328
91	5470	24258
92	5529	24197
93	5585	24124
94	5627	23990
95	5683	23920
96	5742	23857
97	5802	23800
98	5861	23740
99	5922	23688
100	5980	23625
101	6037	23558
102	6096	23496
103	6152	23427
104	6211	23367
105	6272	23313
106	6331	23255
107	6389	23190
108	6450	23137
109	6505	23066
110	6567	23014
111	6627	22961
112	6690	22912
113	6742	22828
114	6804	22778
115	6861	22714
116	6919	22651
117	6978	22592
118	7036	22529
119	7096	22472
120	7156	22415
121	7198	22303
122	7254	22236
123	7313	22176
124	7373	22120
125	7433	22063
126	7491	22001
127	7536	21902
128	7599	21857
129	7661	21804
130	7719	21743
131	7774	21674
132	7831	21610
133	7888	21545
134	7946	21485
135	7997	21405
136	8056	21347
137	8117	21294
138	8167	21213
139	8232	21169
140	8294	21118
141	8354	21062
142	8397	20964
143	8452	20897
144	8505	20822
145	8557	20749
146	8614	20686
147	8669	20618
148	8724	20551
149	8777	20480
150	8831	20410
151	8889	20352
152	8946	20290
153	9000	20222
154	9042	20127
155	9103	20074
156	9163	20020
157	9220	19958
158	9278	19898
159	9334	19835
160	9391	19775
161	9451	19719
162	9509	19661
163	9572	19612
164	9636	19565
165	9697	19511
166	9753	19448
167	9813	19392
168	9860	19313
169	9917	19251
170	9973	19188
171	10030	19127
172	10088	19068
173	10146	19009
174	10200	18943
175	10256	18881
176	10315	18823
177	10373	18765
178	10431	18707
179	10487	18644
180	10544	18584
181	10600	18522
182	10660	18465
183	10720	18410
184	10775	18347
185	10833	18288
186	10889	18227
187	10946	18166
188	11004	18107
189	11064	18053
190	11115	17982
191	11174	17925
192	11232	17867
193	11291	17809
194	11350	17753
195	11407	17693
196	11462	17629
197	11518	17569
198	11578	17512
199	11635	17452
200	11691	17391
201	11749	17332
202	11809	17277
203	11867	17219
204	11930	17168
205	11987	17108
206	12044	17047
207	12102	16990
208	12156	16925
209	12202	16851
210	12260	16792
211	12317	16733
212	12378	16679
213	12435	16619
214	12496	16564
215	12553	16505
216	12610	16445
217	12668	16387
218	12710	16309
219	12768	16250
220	12828	16194
221	12889	16140
222	12950	16086
223	13006	16025
224	13062	15964
225	13116	15902
226	13175	15845
227	13236	15791
228	13294	15733
229	13344	15665
230	13404	15609
231	13464	15553
232	13535	15511
233	13593	15452
234	13654	15397
235	13714	15341
236	13774	15285
237	13835	15231
238	13880	15157
239	13957	15120
240	14034	15082
241	14104	15036
242	14180	14997
243	14262	14964
244	14341	14927
245	14425	14894
246	14508	14861
