iter	Passed	Remaining
0	63	12615
1	139	13781
2	210	13821
3	282	13863
4	353	13790
5	429	13902
6	500	13812
7	577	13851
8	651	13833
9	731	13896
10	805	13837
11	890	13956
12	972	13989
13	1052	13985
14	1125	13884
15	1202	13827
16	1271	13689
17	1340	13558
18	1409	13430
19	1486	13378
20	1555	13256
21	1627	13169
22	1700	13090
23	1770	12981
24	1845	12915
25	1923	12869
26	1997	12795
27	2064	12681
28	2137	12602
29	2206	12505
30	2281	12438
31	2352	12348
32	2419	12245
33	2499	12203
34	2570	12117
35	2640	12028
36	2710	11942
37	2783	11865
38	2851	11773
39	2934	11736
40	3013	11686
41	3094	11639
42	3172	11581
43	3242	11496
44	3311	11405
45	3385	11333
46	3459	11260
47	3532	11187
48	3604	11107
49	3673	11021
50	3745	10941
51	3817	10864
52	3887	10781
53	3959	10706
54	4027	10617
55	4101	10545
56	4172	10466
57	4244	10390
58	4316	10316
59	4385	10233
60	4457	10157
61	4524	10070
62	4595	9993
63	4665	9914
64	4740	9845
65	4811	9768
66	4883	9693
67	4958	9625
68	5029	9547
69	5100	9471
70	5172	9398
71	5243	9321
72	5312	9242
73	5382	9164
74	5456	9093
75	5527	9018
76	5605	8954
77	5677	8879
78	5748	8804
79	5817	8726
80	5888	8651
81	5959	8575
82	6036	8509
83	6114	8444
84	6186	8370
85	6265	8304
86	6339	8233
87	6408	8156
88	6477	8079
89	6547	8002
90	6615	7924
91	6691	7854
92	6761	7778
93	6831	7703
94	6900	7627
95	6976	7557
96	7047	7483
97	7119	7410
98	7192	7337
99	7264	7264
100	7328	7183
101	7405	7114
102	7478	7043
103	7552	6971
104	7622	6896
105	7692	6822
106	7760	6745
107	7837	6676
108	7917	6610
109	7990	6537
110	8061	6463
111	8129	6387
112	8203	6315
113	8273	6241
114	8342	6166
115	8416	6094
116	8485	6019
117	8558	5947
118	8627	5872
119	8691	5794
120	8764	5722
121	8839	5651
122	8911	5578
123	8987	5508
124	9062	5437
125	9136	5365
126	9210	5294
127	9286	5223
128	9360	5151
129	9423	5074
130	9491	4999
131	9559	4924
132	9630	4851
133	9667	4761
134	9736	4687
135	9810	4616
136	9882	4544
137	9951	4470
138	10026	4400
139	10097	4327
140	10166	4254
141	10231	4179
142	10302	4106
143	10374	4034
144	10445	3962
145	10520	3891
146	10593	3819
147	10667	3748
148	10737	3675
149	10810	3603
150	10839	3517
151	10912	3446
152	10989	3375
153	11057	3302
154	11132	3231
155	11203	3159
156	11272	3087
157	11347	3016
158	11415	2943
159	11490	2872
160	11556	2799
161	11626	2727
162	11712	2658
163	11792	2588
164	11865	2517
165	11941	2445
166	12018	2374
167	12086	2302
168	12162	2230
169	12237	2159
170	12316	2088
171	12399	2018
172	12478	1947
173	12547	1874
174	12617	1802
175	12690	1730
176	12761	1658
177	12835	1586
178	12915	1515
179	12992	1443
180	13064	1371
181	13141	1299
182	13214	1227
183	13298	1156
184	13369	1084
185	13439	1011
186	13508	939
187	13580	866
188	13656	794
189	13734	722
190	13811	650
191	13885	578
192	13961	506
193	14031	433
194	14110	361
195	14180	289
196	14239	216
197	14312	144
198	14385	72
199	14458	0
